Date,HomeTeam,AwayTeam,FTHG,FTAG,Season,SeasonStart,ScoreDetail,Match
2025-10-30,Rögle BK,Luleå HF,6,0,2025-26,2025,"(2-0, 3-0, 1-0)",Rögle BK - Luleå HF
2025-10-30,Skellefteå AIK,Brynäs IF,2,5,2025-26,2025,"(0-2, 1-1, 1-2)",Skellefteå AIK - Brynäs IF
2025-11-01,Frölunda HC,Färjestad BK,4,1,2025-26,2025,"(1-1, 1-0, 2-0)",Frölunda HC - Färjestad BK
2025-11-01,Leksands IF,Rögle BK,2,0,2025-26,2025,"(0-0, 0-0, 2-0)",Leksands IF - Rögle BK
2025-11-01,Djurgårdens IF,Brynäs IF,4,2,2025-26,2025,"(2-0, 1-0, 1-2)",Djurgårdens IF - Brynäs IF
2025-11-01,Timrå IK,HV 71,5,0,2025-26,2025,"(2-0, 2-0, 1-0)",Timrå IK - HV 71
2025-11-01,IF Malmö Redhawks,Luleå HF,3,1,2025-26,2025,"(0-0, 0-1, 3-0)",IF Malmö Redhawks - Luleå HF
2025-11-01,Örebro HK,Skellefteå AIK,3,4,2025-26,2025,"(1-2, 1-0, 1-1, 0-0, 0-1)",Örebro HK - Skellefteå AIK
2025-11-01,Växjö Lakers HC,Linköping HC,5,3,2025-26,2025,"(0-2, 1-1, 4-0)",Växjö Lakers HC - Linköping HC
2025-11-13,Brynäs IF,IF Malmö Redhawks,,,2025-26,2025,,Brynäs IF - IF Malmö Redhawks
2025-11-13,Frölunda HC,Örebro HK,,,2025-26,2025,,Frölunda HC - Örebro HK
2025-11-13,HV 71,Växjö Lakers HC,,,2025-26,2025,,HV 71 - Växjö Lakers HC
2025-11-13,Linköping HC,Leksands IF,,,2025-26,2025,,Linköping HC - Leksands IF
2025-11-13,Luleå HF,Djurgårdens IF,,,2025-26,2025,,Luleå HF - Djurgårdens IF
2025-11-13,Rögle BK,Färjestad BK,,,2025-26,2025,,Rögle BK - Färjestad BK
2025-11-13,Skellefteå AIK,Timrå IK,,,2025-26,2025,,Skellefteå AIK - Timrå IK
2025-11-15,HV 71,Leksands IF,,,2025-26,2025,,HV 71 - Leksands IF
2025-11-15,Luleå HF,Brynäs IF,,,2025-26,2025,,Luleå HF - Brynäs IF
2025-11-15,Örebro HK,IF Malmö Redhawks,,,2025-26,2025,,Örebro HK - IF Malmö Redhawks
2025-11-15,Skellefteå AIK,Djurgårdens IF,,,2025-26,2025,,Skellefteå AIK - Djurgårdens IF
2025-11-15,Färjestad BK,Linköping HC,,,2025-26,2025,,Färjestad BK - Linköping HC
2025-11-15,Timrå IK,Frölunda HC,,,2025-26,2025,,Timrå IK - Frölunda HC
2025-11-15,Växjö Lakers HC,Rögle BK,,,2025-26,2025,,Växjö Lakers HC - Rögle BK
2025-11-20,Brynäs IF,Timrå IK,,,2025-26,2025,,Brynäs IF - Timrå IK
2025-11-20,Färjestad BK,HV 71,,,2025-26,2025,,Färjestad BK - HV 71
2025-11-20,Frölunda HC,IF Malmö Redhawks,,,2025-26,2025,,Frölunda HC - IF Malmö Redhawks
2025-11-20,Leksands IF,Växjö Lakers HC,,,2025-26,2025,,Leksands IF - Växjö Lakers HC
2025-11-20,Örebro HK,Luleå HF,,,2025-26,2025,,Örebro HK - Luleå HF
2025-11-20,Rögle BK,Skellefteå AIK,,,2025-26,2025,,Rögle BK - Skellefteå AIK
2025-11-20,Djurgårdens IF,Linköping HC,,,2025-26,2025,,Djurgårdens IF - Linköping HC
2025-11-22,HV 71,Luleå HF,,,2025-26,2025,,HV 71 - Luleå HF
2025-11-22,Leksands IF,Frölunda HC,,,2025-26,2025,,Leksands IF - Frölunda HC
2025-11-22,Örebro HK,Växjö Lakers HC,,,2025-26,2025,,Örebro HK - Växjö Lakers HC
2025-11-22,Timrå IK,Linköping HC,,,2025-26,2025,,Timrå IK - Linköping HC
2025-11-22,Brynäs IF,Rögle BK,,,2025-26,2025,,Brynäs IF - Rögle BK
2025-11-22,Färjestad BK,Djurgårdens IF,,,2025-26,2025,,Färjestad BK - Djurgårdens IF
2025-11-22,IF Malmö Redhawks,Skellefteå AIK,,,2025-26,2025,,IF Malmö Redhawks - Skellefteå AIK
2025-11-25,IF Malmö Redhawks,Växjö Lakers HC,,,2025-26,2025,,IF Malmö Redhawks - Växjö Lakers HC
2025-11-25,Djurgårdens IF,Färjestad BK,,,2025-26,2025,,Djurgårdens IF - Färjestad BK
2025-11-27,Färjestad BK,IF Malmö Redhawks,,,2025-26,2025,,Färjestad BK - IF Malmö Redhawks
2025-11-27,HV 71,Örebro HK,,,2025-26,2025,,HV 71 - Örebro HK
2025-11-27,Linköping HC,Brynäs IF,,,2025-26,2025,,Linköping HC - Brynäs IF
2025-11-27,Luleå HF,Leksands IF,,,2025-26,2025,,Luleå HF - Leksands IF
2025-11-27,Rögle BK,Djurgårdens IF,,,2025-26,2025,,Rögle BK - Djurgårdens IF
2025-11-27,Skellefteå AIK,Frölunda HC,,,2025-26,2025,,Skellefteå AIK - Frölunda HC
2025-11-27,Växjö Lakers HC,Timrå IK,,,2025-26,2025,,Växjö Lakers HC - Timrå IK
2025-11-29,Brynäs IF,HV 71,,,2025-26,2025,,Brynäs IF - HV 71
2025-11-29,Linköping HC,Frölunda HC,,,2025-26,2025,,Linköping HC - Frölunda HC
2025-11-29,IF Malmö Redhawks,Djurgårdens IF,,,2025-26,2025,,IF Malmö Redhawks - Djurgårdens IF
2025-11-29,Skellefteå AIK,Leksands IF,,,2025-26,2025,,Skellefteå AIK - Leksands IF
2025-11-29,Örebro HK,Rögle BK,,,2025-26,2025,,Örebro HK - Rögle BK
2025-11-29,Timrå IK,Luleå HF,,,2025-26,2025,,Timrå IK - Luleå HF
2025-11-29,Växjö Lakers HC,Färjestad BK,,,2025-26,2025,,Växjö Lakers HC - Färjestad BK
2025-12-04,Frölunda HC,Djurgårdens IF,,,2025-26,2025,,Frölunda HC - Djurgårdens IF
2025-12-04,HV 71,Skellefteå AIK,,,2025-26,2025,,HV 71 - Skellefteå AIK
2025-12-04,Leksands IF,Brynäs IF,,,2025-26,2025,,Leksands IF - Brynäs IF
2025-12-04,Luleå HF,Växjö Lakers HC,,,2025-26,2025,,Luleå HF - Växjö Lakers HC
2025-12-04,IF Malmö Redhawks,Linköping HC,,,2025-26,2025,,IF Malmö Redhawks - Linköping HC
2025-12-04,Örebro HK,Färjestad BK,,,2025-26,2025,,Örebro HK - Färjestad BK
2025-12-04,Rögle BK,Timrå IK,,,2025-26,2025,,Rögle BK - Timrå IK
2025-12-06,Frölunda HC,Brynäs IF,,,2025-26,2025,,Frölunda HC - Brynäs IF
2025-12-06,HV 71,IF Malmö Redhawks,,,2025-26,2025,,HV 71 - IF Malmö Redhawks
2025-12-06,Skellefteå AIK,Växjö Lakers HC,,,2025-26,2025,,Skellefteå AIK - Växjö Lakers HC
2025-12-06,Luleå HF,Färjestad BK,,,2025-26,2025,,Luleå HF - Färjestad BK
2025-12-06,Djurgårdens IF,Timrå IK,,,2025-26,2025,,Djurgårdens IF - Timrå IK
2025-12-06,Örebro HK,Leksands IF,,,2025-26,2025,,Örebro HK - Leksands IF
2025-12-06,Rögle BK,Linköping HC,,,2025-26,2025,,Rögle BK - Linköping HC
2025-12-18,Färjestad BK,Örebro HK,,,2025-26,2025,,Färjestad BK - Örebro HK
2025-12-18,Frölunda HC,HV 71,,,2025-26,2025,,Frölunda HC - HV 71
2025-12-18,Leksands IF,IF Malmö Redhawks,,,2025-26,2025,,Leksands IF - IF Malmö Redhawks
2025-12-18,Linköping HC,Djurgårdens IF,,,2025-26,2025,,Linköping HC - Djurgårdens IF
2025-12-18,Rögle BK,Brynäs IF,,,2025-26,2025,,Rögle BK - Brynäs IF
2025-12-18,Timrå IK,Skellefteå AIK,,,2025-26,2025,,Timrå IK - Skellefteå AIK
2025-12-18,Växjö Lakers HC,Luleå HF,,,2025-26,2025,,Växjö Lakers HC - Luleå HF
2025-12-20,Brynäs IF,Frölunda HC,,,2025-26,2025,,Brynäs IF - Frölunda HC
2025-12-20,Färjestad BK,Rögle BK,,,2025-26,2025,,Färjestad BK - Rögle BK
2025-12-20,IF Malmö Redhawks,Luleå HF,,,2025-26,2025,,IF Malmö Redhawks - Luleå HF
