Date,HomeTeam,AwayTeam,FTHG,FTAG
2016-10-21,Gefle,Sundsvall,1,1
2016-10-22,Malmo FF,Ostersunds,0,3
2016-10-23,Norrkoping,Falkenbergs,2,1
2016-10-23,Orebro,Helsingborg,0,0
2016-10-23,Hacken,Kalmar,2,3
2016-10-23,Hammarby,Elfsborg,2,4
2016-10-24,Djurgarden,Jonkopings,0,2
2016-10-24,Goteborg,AIK,1,0
2016-10-26,Elfsborg,Norrkoping,2,1
2016-10-26,Falkenbergs,Malmo FF,0,3
2016-10-26,Kalmar,Gefle,0,1
2016-10-26,Ostersunds,Hammarby,2,0
2016-10-27,AIK,Hacken,2,1
2016-10-27,Helsingborg,Djurgarden,1,2
2016-10-27,Jonkopings,Orebro,1,1
2016-10-27,Sundsvall,Goteborg,1,3
2016-10-30,Hammarby,Norrkoping,1,1
2016-10-30,Kalmar,Sundsvall,2,0
2016-10-30,Falkenbergs,Helsingborg,1,4
2016-10-30,Gefle,Malmo FF,1,0
2016-10-31,Djurgarden,Hacken,1,0
2016-10-31,Goteborg,Elfsborg,2,2
2016-10-31,Jonkopings,AIK,0,0
2016-10-31,Orebro,Ostersunds,1,5
2016-11-06,AIK,Kalmar,3,1
2016-11-06,Elfsborg,Orebro,2,1
2016-11-06,Hacken,Falkenbergs,7,0
2016-11-06,Helsingborg,Jonkopings,2,0
2016-11-06,Malmo FF,Hammarby,3,0
2016-11-06,Norrkoping,Goteborg,3,1
2016-11-06,Ostersunds,Gefle,2,4
2016-11-06,Sundsvall,Djurgarden,2,5
2016-11-17,Halmstad,Helsingborg,1,1
2016-11-20,Helsingborg,Halmstad,1,2
2017-04-01,Goteborg,Malmo FF,1,1
2017-04-01,Halmstad,Ostersunds,1,0
2017-04-02,AIK,Hacken,0,0
2017-04-02,Sundsvall,AFC Eskilstuna,3,1
2017-04-02,Norrkoping,Hammarby,2,1
2017-04-03,Djurgarden,Sirius,0,2
2017-04-03,Kalmar,Elfsborg,1,5
2017-04-03,Orebro,Jonkopings,2,1
2017-04-08,AFC Eskilstuna,Orebro,2,2
2017-04-09,Hammarby,Kalmar,1,1
2017-04-09,Ostersunds,Norrkoping,1,0
2017-04-09,Hacken,Djurgarden,0,0
2017-04-09,Jonkopings,Halmstad,2,2
2017-04-09,Sirius,Goteborg,0,2
2017-04-10,Elfsborg,AIK,1,2
2017-04-11,Malmo FF,Sundsvall,2,0
2017-04-16,Halmstad,Malmo FF,0,3
2017-04-16,Orebro,Ostersunds,2,1
2017-04-16,Djurgarden,Elfsborg,3,0
2017-04-16,Sundsvall,Hacken,1,2
2017-04-17,AIK,Hammarby,1,2
2017-04-17,Kalmar,Jonkopings,1,3
